Deutschlandfunk,http://b1.mediayou.net/embedded/playURL.php?id=13081&sc=N9XX_AAC
Radio Swiss Jazz,http://b1.mediayou.net/embedded/playURL.php?id=7338&sc=N9XX_AAC
Radio Efímera,http://b1.mediayou.net/embedded/playURL.php?id=11265&sc=N9XX_AAC
1000 Christmas Hits,http://b1.mediayou.net/embedded/playURL.php?id=38549&sc=N9XX_AAC
